target,partner_name,days,lead_days,country_code,pickup_country_code,flight_type,pax
E,Travelstart,2,3,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),2,72,NO,FR,International,1
F,Scandinavian Airlines (SAS),14,174,NO,IT,International,1
E,Scandinavian Airlines (SAS),7,41,SE,IT,International,2
I,Scandinavian Airlines (SAS),11,47,NO,US,International,3
S,Scandinavian Airlines (SAS),2,2,US,NO,International,1
C,Scandinavian Airlines (SAS),10,115,SE,ES,International,4
I,Scandinavian Airlines (SAS),5,1,NO,NO,Domestic,1
C,Lufthansa,8,59,DE,FR,International,2
C,Lufthansa,3,11,NO,DE,International,1
I,Scandinavian Airlines (SAS),6,1,NO,IT,International,1
E,Travelstart,3,2,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),4,14,NO,US,International,1
M,TrenItalia,3,55,IT,IT,Domestic,1
I,Lufthansa,7,22,US,IT,International,2
E,Travelstart,3,24,ZA,ZA,Domestic,1
M,Lufthansa,4,1,DE,ES,International,2
I,Lufthansa,14,83,DE,ES,International,2
M,Scandinavian Airlines (SAS),4,164,SE,IT,International,2
S,Scandinavian Airlines (SAS),13,15,DK,US,International,1
C,Lufthansa,2,48,DE,DE,Domestic,2
C,Lufthansa,3,166,FR,DE,International,4
E,Scandinavian Airlines (SAS),8,17,SE,ES,International,1
C,Lufthansa,3,7,DE,GB,International,1
I,Scandinavian Airlines (SAS),2,24,SE,US,International,1
F,Lufthansa,12,26,DE,US,International,3
C,Lufthansa,2,126,DE,DE,Domestic,1
I,Scandinavian Airlines (SAS),3,1,SE,SE,Domestic,2
C,Lufthansa,5,17,SE,DE,International,1
C,FreeNow,3,8,DE,DE,Domestic,1
F,Scandinavian Airlines (SAS),17,1,DK,US,International,1
S,Scandinavian Airlines (SAS),12,3,SE,US,International,1
M,Scandinavian Airlines (SAS),1,0,NO,NO,Domestic,1
E,Lufthansa,13,49,DE,DK,International,2
M,Scandinavian Airlines (SAS),3,14,SE,IT,International,1
F,Lufthansa,3,2,DE,ES,International,4
M,Travelstart,3,18,ZA,ZA,Domestic,1
M,Lufthansa,7,20,DE,ES,International,1
F,Travelstart,5,1,ZA,ZA,Domestic,1
C,Scandinavian Airlines (SAS),3,59,NO,DE,International,1
medium car,Scandinavian Airlines (SAS),4,9,SE,SE,Domestic,1
M,Lufthansa,5,59,GB,DE,International,1
C,Scandinavian Airlines (SAS),7,4,DK,US,International,1
C,Lufthansa,2,1,GB,DE,International,1
C,Scandinavian Airlines (SAS),14,5,DK,DK,Domestic,1
M,Scandinavian Airlines (SAS),3,10,SE,SE,Domestic,1
M,Travelstart,2,13,ZA,ZA,Domestic,1
E,Scandinavian Airlines (SAS),2,0,NO,NO,Domestic,2
S,Lufthansa,7,3,DE,US,International,1
S,Lufthansa,15,257,US,IT,International,2
I,Lufthansa,17,1,DE,US,International,3
E,Lufthansa,6,36,US,DE,International,1
I,Scandinavian Airlines (SAS),4,4,DK,FR,International,1
E,Scandinavian Airlines (SAS),2,17,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),3,16,SE,FR,International,1
I,Scandinavian Airlines (SAS),1,4,NO,NO,Domestic,1
F,Scandinavian Airlines (SAS),5,29,US,DK,International,1
I,Lufthansa,10,6,DE,US,International,1
I,Scandinavian Airlines (SAS),13,69,DK,FR,International,1
M,Scandinavian Airlines (SAS),5,120,NO,IT,International,2
I,Scandinavian Airlines (SAS),6,61,DK,US,International,1
C,Scandinavian Airlines (SAS),3,16,SE,GB,International,1
I,Lufthansa,2,25,DE,FR,International,1
E,Scandinavian Airlines (SAS),7,58,NO,ES,International,1
medium car,Scandinavian Airlines (SAS),1,35,DK,NO,International,1
C,Scandinavian Airlines (SAS),3,16,SE,SE,Domestic,1
M,Travelstart,2,22,ZA,ZA,Domestic,1
M,Scandinavian Airlines (SAS),3,5,DK,IT,International,1
E,Travelstart,2,0,ZA,ZA,Domestic,1
E,Scandinavian Airlines (SAS),8,38,NO,IT,International,2
F,Scandinavian Airlines (SAS),3,1,DK,GB,International,1
M,Scandinavian Airlines (SAS),7,12,SE,SE,Domestic,1
E,Scandinavian Airlines (SAS),8,61,SE,ES,International,2
M,Travelstart,2,9,ZA,ZA,Domestic,1
E,Lufthansa,4,1,IT,DE,International,1
E,Lufthansa,2,62,NO,DE,International,2
I,Lufthansa,7,9,DE,IT,International,1
M,Travelstart,1,17,ZA,ZA,Domestic,1
I,Scandinavian Airlines (SAS),5,52,SE,US,International,1
C,Lufthansa,4,4,DE,GB,International,1
C,Lufthansa,11,10,DE,IT,International,2
C,Lufthansa,3,1,DE,GB,International,1
C,Lufthansa,4,2,GB,FR,International,3
I,Lufthansa,10,62,US,IT,International,1
I,Scandinavian Airlines (SAS),7,67,US,DK,International,1
S,Scandinavian Airlines (SAS),6,4,SE,IT,International,1
medium car,Scandinavian Airlines (SAS),3,1,SE,SE,Domestic,1
C,Lufthansa,2,24,FR,DE,International,3
S,Lufthansa,14,8,DE,ES,International,4
C,Lufthansa,2,11,GB,DE,International,2
C,Lufthansa,6,58,US,DE,International,1
C,Lufthansa,17,198,DE,DK,International,2
E,Lufthansa,2,14,DE,DE,Domestic,1
I,Scandinavian Airlines (SAS),2,6,DK,US,International,1
C,Scandinavian Airlines (SAS),6,22,SE,SE,Domestic,1
I,Lufthansa,4,346,SE,IT,International,3
M,TrenItalia,1,6,IT,IT,Domestic,1
E,Lufthansa,10,30,DE,DE,Domestic,1
C,Scandinavian Airlines (SAS),2,21,SE,SE,Domestic,1
M,Lufthansa,3,115,CH,IT,International,2
I,Scandinavian Airlines (SAS),7,48,SE,ES,International,1
small car,Lufthansa,3,10,DE,IT,International,1
E,Lufthansa,8,25,SE,DE,International,2
C,Lufthansa,6,28,DE,DK,International,1
E,Scandinavian Airlines (SAS),19,28,SE,US,International,1
M,TrenItalia,2,23,IT,IT,Domestic,1
large car,Scandinavian Airlines (SAS),15,104,NO,US,International,4
C,Lufthansa,7,6,SE,FR,International,2
E,Lufthansa,8,3,SE,DE,International,3
M,TrenItalia,5,19,IT,IT,Domestic,1
M,Lufthansa,2,31,DE,DE,Domestic,1
M,Scandinavian Airlines (SAS),7,14,SE,ES,International,2
E,Lufthansa,5,13,DE,IT,International,1
C,Scandinavian Airlines (SAS),8,79,NO,NO,Domestic,2
F,Lufthansa,18,196,DE,US,International,2
E,Lufthansa,3,51,IT,DE,International,1
M,TrenItalia,10,40,IT,IT,Domestic,1
C,Lufthansa,14,5,DE,ZA,International,2
I,Scandinavian Airlines (SAS),15,59,NO,US,International,1
E,Lufthansa,8,267,DE,GB,International,2
M,Scandinavian Airlines (SAS),4,93,NO,NO,Domestic,1
medium car,Scandinavian Airlines (SAS),17,8,SE,SE,Domestic,1
E,Scandinavian Airlines (SAS),3,50,SE,NO,International,1
I,Lufthansa,2,1,DE,DE,Domestic,1
I,Scandinavian Airlines (SAS),13,1,NO,NO,Domestic,1
C,Scandinavian Airlines (SAS),3,25,SE,DE,International,1
M,Scandinavian Airlines (SAS),19,34,DK,DK,Domestic,1
M,Scandinavian Airlines (SAS),2,2,GB,DK,International,1
M,Scandinavian Airlines (SAS),3,24,NO,NO,Domestic,1
medium car,Lufthansa,2,8,DE,IT,International,1
F,Scandinavian Airlines (SAS),2,5,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),1,16,DK,NO,International,1
C,Lufthansa,7,262,DE,ES,International,2
C,Lufthansa,8,65,DE,GB,International,3
C,Scandinavian Airlines (SAS),7,18,NO,GB,International,1
C,Scandinavian Airlines (SAS),1,3,NO,DK,International,1
C,Scandinavian Airlines (SAS),7,25,SE,SE,Domestic,1
E,Lufthansa,4,0,IT,DE,International,1
F,Lufthansa,3,19,GB,DE,International,2
E,Scandinavian Airlines (SAS),1,7,NO,NO,Domestic,2
M,Scandinavian Airlines (SAS),5,19,DK,IT,International,2
M,FreeNow,2,0,GB,IT,International,1
C,Scandinavian Airlines (SAS),1,9,NO,NO,Domestic,1
M,Travelstart,1,11,ZA,ZA,Domestic,1
large car,Scandinavian Airlines (SAS),9,40,DK,IT,International,2
C,Scandinavian Airlines (SAS),3,29,NO,NO,Domestic,1
M,Lufthansa,2,8,IT,ES,International,1
M,Scandinavian Airlines (SAS),6,54,SE,ES,International,2
S,Scandinavian Airlines (SAS),2,40,SE,SE,Domestic,2
E,Lufthansa,7,23,DE,ES,International,2
medium car,Scandinavian Airlines (SAS),5,38,NO,NO,Domestic,1
I,Lufthansa,10,22,SE,US,International,1
I,Scandinavian Airlines (SAS),2,35,SE,US,International,1
E,Scandinavian Airlines (SAS),4,24,NO,ES,International,1
S,Scandinavian Airlines (SAS),5,31,SE,NO,International,5
C,Scandinavian Airlines (SAS),9,70,NO,DK,International,1
M,Scandinavian Airlines (SAS),3,19,NO,NO,Domestic,1
C,Lufthansa,10,8,GB,DE,International,1
C,Lufthansa,7,5,DE,GB,International,2
M,Scandinavian Airlines (SAS),3,33,NO,NO,Domestic,1
E,Scandinavian Airlines (SAS),7,0,NO,ES,International,1
I,Lufthansa,7,27,DE,US,International,1
C,Scandinavian Airlines (SAS),4,28,GB,NO,International,1
M,Lufthansa,2,1,DE,ES,International,1
